ts,p0,p1,p2,p3
14.4075240,-0.2957403,166.3993896,108.0260296,94.9643233
14.4457300,-0.3949393,166.5760359,107.9713244,94.4670476
14.4860400,-0.4541160,166.1168968,107.6037914,94.2586726
14.5209560,-0.4768999,165.9751263,107.4310178,94.4238220
14.5562170,-0.4681932,166.1847394,107.6554870,94.6382030
14.5904950,-0.4325263,165.8976277,107.2175022,94.4072133
14.6206080,-0.3679682,166.1693496,107.6316458,94.0687146
14.6524400,-0.2689748,165.5194183,107.6336194,93.7666701
14.6839370,-0.1472175,166.3443878,107.7535984,94.5389928
14.7141150,-0.0327983,166.3441980,107.7311604,94.7479522
14.7444090,0.0614244,166.9177425,108.1602906,95.2705306
14.7742770,0.1502743,167.2017248,108.3772437,95.5394257
14.8081570,0.2383564,167.2195648,108.5172494,95.4729981
14.8469430,0.3097981,167.5565569,108.9572231,95.9374347
14.8819310,0.3572698,168.0525838,109.5822777,95.9298882
14.9142140,0.3905423,168.1708897,109.3759061,96.2341715
14.9555380,0.4188138,168.2089713,109.3406245,96.0840704
14.9932590,0.4346943,167.6093750,108.6906250,95.6322385
15.0292890,0.4145163,167.2785601,108.3807905,95.4791039
15.0728510,0.3380773,167.2081217,108.2187995,95.3192687
15.1133930,0.2074812,167.4484746,108.2666623,95.6747846
15.1556400,0.0499950,167.4409996,108.1409119,95.6746287
15.2057790,-0.1029898,167.5849901,108.2819382,95.7090779
15.2269670,-0.2415901,167.4972941,108.6376084,96.1563213
15.2673750,-0.3633359,167.4639656,108.8927669,96.5969399
15.2861920,-0.4608159,167.7571457,109.3465648,96.8960273
15.3234980,-0.5263569,167.9502558,109.6410677,97.2261280
15.3406720,-0.5483393,167.8298860,109.6134693,97.3878705
15.3781460,-0.5182257,168.0756439,109.8535061,97.3862862
15.4154300,-0.4396852,167.9037110,109.7812151,97.2527750
15.4517360,-0.3277996,167.6748069,109.7714744,96.7774322
15.4905310,-0.1961121,168.4995911,110.4238281,97.3934051
15.5288670,-0.0631416,169.6766062,110.8571849,98.2514958
15.5699460,0.0494294,169.9931917,111.4565770,98.7741221
15.6043030,0.1478081,170.2755694,111.8507144,99.2224706
15.6565580,0.2523740,170.6056256,112.3559415,99.0644869
15.6784290,0.3639757,171.3718577,113.3380908,100.7697947
15.7192430,0.4713085,171.7278707,113.5326918,100.9652346
15.7575530,0.5720021,171.8530121,113.4904160,101.1347307
15.7970240,0.6618717,172.1406621,113.4674957,100.7663986
15.8342730,0.7268666,171.9386584,112.9471543,100.4491717
15.8766230,0.7493109,172.5830716,113.2889674,100.9958448
15.9261510,0.7094330,172.1812385,113.2657113,100.6805811
15.9649680,0.6014278,171.9361952,113.3219229,100.6510764
15.9799990,0.4321636,171.4814279,112.7622306,100.2344794
16.0095580,0.2197683,171.6472199,112.9340330,101.2038655
16.0306070,-0.0133007,172.4978923,113.8051936,102.4714741
16.0633120,-0.2490270,173.3421996,114.2942212,102.8181790
16.0996870,-0.4566282,174.3307442,115.3121085,103.5505199
16.1370190,-0.6137888,174.6103985,115.9285178,103.8195270
16.1712970,-0.7161066,175.4958272,116.5630141,104.0926155
16.2074560,-0.7538128,176.5166702,117.4417970,104.9387810
16.2439970,-0.7297892,177.0762955,117.9684242,105.8233570
16.2804810,-0.6694978,177.5922292,118.7863785,106.5541578
16.3117910,-0.5769641,178.3867288,119.5131995,107.0892313
